"started_at","ended_at","duration","start_station_id","start_station_name","start_station_description","start_station_latitude","start_station_longitude","end_station_id","end_station_name","end_station_description","end_station_latitude","end_station_longitude"
"2019-09-01 00:02:24.545000+00:00","2019-09-01 00:18:32.932000+00:00","968","1039","Lothian Road","Outside the Usher Hall","55.947409199207115","-3.2057654971365537","366","Dudley Gardens","Corner of Dudley Gardens on Newhaven Road","55.97592062794979","-3.1913460792943624"
"2019-09-01 00:07:16.267000+00:00","2019-09-01 00:48:31.838000+00:00","2475","1028","The Tron","Next to Tron Kirk Royal Mile","55.95003729291336","-3.1878215188269223","862","Cramond Foreshore","Cramond foreshore by turning circle","55.980023741808324","-3.3006220169811513"
"2019-09-01 00:15:44.914000+00:00","2019-09-01 00:38:15.454000+00:00","1350","290","Bruntsfield links","Corner of Bruntsfield Terrace and Bruntsfield Place","55.93715871276677","-3.206435329645956","346","Morningside Road","Corner of Morningside Road & Morningside Park by M & S car park","55.92798551356313","-3.209738736635245"
"2019-09-01 00:27:39.308000+00:00","2019-09-01 00:43:45.157000+00:00","965","1028","The Tron","Next to Tron Kirk Royal Mile","55.95003729291336","-3.1878215188269223","1025","Dundee Terrace","Corner of Dundee Street & Dundee Terrace","55.93970989541296","-3.2205889336679547"
"2019-09-01 00:32:17.434000+00:00","2019-09-01 01:45:50.968000+00:00","4413","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","862","Cramond Foreshore","Cramond foreshore by turning circle","55.980023741808324","-3.3006220169811513"
"2019-09-01 00:32:31.968000+00:00","2019-09-01 01:36:26.161000+00:00","3834","870","Hillside Crescent","East corner of Hillside Crescent & London Road","55.957792800284125","-3.1757986190875727","862","Cramond Foreshore","Cramond foreshore by turning circle","55.980023741808324","-3.3006220169811513"
"2019-09-01 00:34:35.878000+00:00","2019-09-01 01:08:18.143000+00:00","2022","345","Colinton Road","Colinton Road next to Napier University","55.93339776573361","-3.2124286474635255","889","Murrayfield Tram","By the side of the station entrance","55.9419563895648","-3.237802024128314"
"2019-09-01 00:35:32.144000+00:00","2019-09-01 01:08:29.093000+00:00","1976","345","Colinton Road","Colinton Road next to Napier University","55.93339776573361","-3.2124286474635255","889","Murrayfield Tram","By the side of the station entrance","55.9419563895648","-3.237802024128314"
"2019-09-01 00:35:42.620000+00:00","2019-09-01 00:48:54.781000+00:00","792","247","Charlotte Square","North Corner of Charlotte Square","55.95233546161639","-3.2071011721072864","250","Victoria Quay","Entrance to Scottish Government Office","55.977617152546344","-3.1741263194576277"
"2019-09-01 01:17:37.508000+00:00","2019-09-01 01:44:14.467000+00:00","1596","1028","The Tron","Next to Tron Kirk Royal Mile","55.95003729291336","-3.1878215188269223","258","Stockbridge","Hamilton Place by Dean Bank Lane","55.95856558589723","-3.2080701822277433"
