Date,DailyCases,CumulativeCases,Deaths
20200228,1,1,0
20200229,0,1,0
20200301,2,3,0
20200302,1,4,0
20200303,3,7,0
20200304,6,13,0
20200305,2,15,0
20200306,6,21,0
20200307,6,27,0
20200308,3,30,0
20200309,16,46,0
20200310,21,67,0
20200311,26,93,0
20200312,38,131,1
20200313,48,179,1
20200314,19,198,3
20200315,12,210,3
20200316,21,231,4
20200317,43,274,6
20200318,41,315,6
20200319,49,364,9
20200320,83,447,14
20200321,66,513,20
20200322,75,588,25
20200323,138,726,29
20200324,168,894,36
20200325,188,1082,47
20200326,223,1305,59
20200327,274,1579,70
20200328,205,1784,99
20200329,197,1981,119
20200330,320,2301,149
20200331,340,2641,187
20200401,388,3029,233
20200402,351,3380,269
20200403,379,3759,327
20200404,259,4018,355
20200405,225,4243,402
20200406,404,4647,465
20200407,351,4998,514
20200408,343,5341,568
20200409,304,5645,634
20200410,329,5974,692
20200411,185,6159,743
20200412,220,6379,790
20200413,359,6738,831
20200414,346,7084,882
20200415,331,7415,924
20200416,427,7842,967
20200417,394,8236,1005
20200418,264,8500,1057
20200419,159,8659,1103
20200420,776,9435,1164
20200421,399,9834,1215
20200422,340,10174,1261
20200423,314,10488,1310
20200424,305,10793,1348
20200425,184,10977,1396
20200426,172,11149,1439
20200427,430,11579,1499
20200428,380,11959,1539
20200429,430,12389,1577
20200430,335,12724,1620
20200501,368,13092,1668
20200502,217,13309,1712
20200503,189,13498,1749
20200504,330,13828,1789
20200505,289,14117,1839
20200506,306,14423,1882
20200507,290,14713,1922
20200508,254,14967,1956
20200509,177,15144,1990
20200510,150,15294,2018
20200511,262,15556,2050
20200512,230,15786,2081
20200513,198,15984,2123
20200514,212,16196,2158
20200515,152,16348,2184
20200516,103,16451,2213
20200517,92,16543,2239
20200518,140,16683,2262
20200519,182,16865,2290
20200520,121,16986,2312
20200521,111,17097,2336
20200522,92,17189,2353
20200523,50,17239,2364
20200524,54,17293,2372
20200525,97,17390,2386
20200526,77,17467,2400
20200527,66,17533,2416
20200528,55,17588,2432
20200529,29,17617,2443
20200530,40,17657,2449
20200531,23,17680,2455
20200601,38,17718,2458
20200602,45,17763,2464
20200603,35,17798,2472
20200604,35,17833,2474
20200605,24,17857,2483
20200606,22,17879,2486
20200607,17,17896,2493
20200608,18,17914,2499
20200609,27,17941,2500
20200610,29,17970,2505
20200611,21,17991,2507
20200612,30,18021,2509
20200613,23,18044,2512
20200614,13,18057,2516
20200615,21,18078,2519
20200616,17,18095,2525
20200617,33,18128,2528
20200618,14,18142,2531
20200619,23,18165,2531
20200620,6,18171,2534
20200621,9,18180,2536
20200622,11,18191,2539
20200623,20,18211,2540
20200624,8,18219,2541
20200625,19,18238,2541
20200626,6,18244,2541
20200627,4,18248,2545
20200628,3,18251,2546
20200629,14,18265,2547
20200630,8,18273,2547
20200701,11,18284,2547
20200702,13,18297,2547
20200703,6,18303,2548
20200704,5,18308,2548
20200705,2,18310,2549
20200706,8,18318,2549
20200707,11,18329,2549
20200708,10,18339,2549
20200709,8,18347,2549
20200710,12,18359,2549
20200711,9,18368,2549
20200712,2,18370,2549
20200713,17,18387,2549
20200714,10,18397,2549
20200715,16,18413,2549
20200716,21,18434,2549
20200717,8,18442,2549
20200718,13,18455,2549
20200719,17,18472,2549
20200720,13,18485,2549
20200721,19,18504,2549
20200722,16,18520,2549
20200723,23,18543,2549
20200724,11,18554,2549
20200725,3,18557,2550
20200726,7,18564,2550
20200727,13,18577,2550
20200728,22,18599,2550
20200729,28,18627,2550
20200730,27,18654,2550
20200731,21,18675,2550
20200801,23,18698,2550
20200802,19,18717,2550
20200803,62,18779,2550
20200804,58,18837,2550
20200805,67,18904,2550
20200806,65,18969,2550
20200807,46,19015,2550
20200808,27,19042,2550
20200809,26,19068,2550
20200810,59,19127,2550
20200811,63,19190,2550
20200812,49,19239,2550
20200813,59,19298,2550
20200814,50,19348,2550
20200815,20,19368,2550
20200816,33,19401,2550
20200817,75,19476,2550
20200818,78,19554,2550
20200819,93,19647,2551
20200820,141,19788,2551
20200821,91,19879,2551
20200822,51,19930,2552
20200823,67,19997,2553
20200824,59,20056,2553
20200825,72,20128,2553
20200826,98,20226,2553
20200827,97,20323,2553
20200828,105,20428,2554
20200829,94,20522,2554
20200830,102,20624,2554
20200831,143,20767,2554
20200901,199,20966,2554
20200902,192,21158,2555
20200903,202,21360,2556
20200904,170,21530,2557
20200905,137,21667,2557
20200906,154,21821,2557
20200907,167,21988,2557
20200908,103,22091,2557
20200909,223,22314,2557
20200910,231,22545,2557
20200911,216,22761,2557
20200912,214,22975,2557
20200913,178,23153,2558
20200914,186,23339,2561
20200915,238,23577,2561
20200916,280,23857,2561
20200917,265,24122,2562
20200918,270,24392,2564
20200919,236,24628,2564
20200920,320,24948,2567
20200921,454,25402,2569
20200922,497,25899,2571
20200923,572,26471,2572
20200924,716,27187,2574
20200925,576,27763,2575
20200926,437,28200,2577
20200927,359,28559,2579
20200928,625,29184,2582
20200929,661,29845,2583
20200930,793,30638,2587
20201001,777,31415,2592
20201002,818,32233,2593
20201003,702,32935,2596
20201004,744,33679,2599
20201005,1098,34777,2601
20201006,1192,35969,2605
20201007,1250,37219,2614
20201008,1171,38390,2625
20201009,1096,39486,2631
20201010,942,40428,2642
20201011,959,41387,2651
20201012,1361,42748,2659
20201013,1423,44171,2670
20201014,1290,45461,2676
20201015,1294,46755,2692
20201016,1251,48006,2711
20201017,862,48868,2721
20201018,828,49696,2742
20201019,1355,51051,2757
20201020,1684,52735,2774
20201021,1580,54315,2785
20201022,1503,55818,2802
20201023,1287,57105,2819
20201024,954,58059,2839
20201025,939,58998,2861
20201026,1345,60343,2891
20201027,1308,61651,2907
20201028,1268,62919,2935
20201029,1098,64017,2962
20201030,1106,65123,2997
20201031,744,65867,3022
20201101,974,66841,3056
20201102,1478,68319,3084
20201103,1392,69711,3118
20201104,1303,71014,3137
20201105,1294,72308,3177
20201106,1141,73449,3203
20201107,844,74293,3240
20201108,878,75171,3275
20201109,1295,76466,3315
20201110,1290,77756,3349
20201111,1250,79006,3385
20201112,1196,80202,3417
20201113,1062,81264,3454
20201114,919,82183,3494
20201115,812,82995,3528
20201116,1275,84270,3561
20201117,1225,85495,3597
20201118,1115,86610,3621
20201119,981,87591,3647
20201120,864,88455,3676
20201121,763,89218,3709
20201122,706,89924,3745
20201123,1159,91083,3776
20201124,990,92073,3806
20201125,930,93003,3838
20201126,802,93805,3861
20201127,737,94542,3885
20201128,572,95114,3926
20201129,553,95667,3954
20201130,973,96640,3986
20201201,925,97565,4013
20201202,948,98513,4033
20201203,808,99321,4069
20201204,646,99967,4097
20201205,664,100631,4116
20201206,645,101276,4145
20201207,953,102229,4174
20201208,1041,103270,4202
20201209,996,104266,4225
20201210,896,105162,4248
20201211,872,106034,4268
20201212,683,106717,4291
20201213,722,107439,4317
20201214,1102,108541,4348
20201215,1037,109578,4380
20201216,1051,110629,4411
20201217,914,111543,4447
20201218,930,112473,4470
20201219,756,113229,4498
20201220,824,114053,4527
20201221,1323,115376,4552
20201222,1332,116708,4580
20201223,1324,118032,4614
20201224,1022,119054,4650
20201225,520,119574,4685
20201226,1058,120632,4718
20201227,1705,122337,4752
20201228,1825,124162,4782
20201229,3149,127311,4809
20201230,2973,130284,4841
20201231,2379,132663,4885
20210101,1167,133830,4920
20210102,2219,136049,4962
20210103,2222,138271,5004
20210104,2386,140657,5041
20210105,3058,143715,5081
20210106,2559,146274,5129
20210107,2203,148477,5173
20210108,1839,150316,5215
20210109,1498,151814,5253
20210110,1430,153244,5312
20210111,2102,155346,5360
20210112,1985,157331,5411
20210113,1710,159041,5462
20210114,1624,160665,5519
20210115,1553,162218,5577
20210116,1177,163395,5653
20210117,1199,164594,5696
20210118,1738,166332,5759
20210119,1560,167892,5829
20210120,1589,169481,5895
20210121,1242,170723,5952
20210122,1243,171966,6019
20210123,937,172903,6072
20210124,865,173768,6142
20210125,1322,175090,6194
20210126,1176,176266,6246
20210127,1114,177380,6306
20210128,1121,178501,6353
20210129,963,179464,6411
20210130,786,180250,6455
20210131,815,181065,6502
20210201,1100,182165,6545
20210202,1050,183215,6587
20210203,930,184145,6635
20210204,902,185047,6667
20210205,939,185986,6711
20210206,699,186685,6762
20210207,656,187341,6804
20210208,996,188337,6845
20210209,756,189093,6893
20210210,845,189938,6930
20210211,845,190783,6964
20210212,903,191686,7005
20210213,543,192229,7037
20210214,682,192911,7070
20210215,968,193879,7104
20210216,909,194788,7129
20210217,829,195617,7157
20210218,879,196496,7191
20210219,891,197387,7235
20210220,661,198048,7262
20210221,614,198662,7282
20210222,792,199454,7304
20210223,699,200153,7320
20210224,701,200854,7337
20210225,633,201487,7357
20210226,525,202012,7373
20210227,418,202430,7390
20210228,432,202862,7399
20210301,551,203413,7419
20210302,520,203933,7431
20210303,494,204427,7442
20210304,559,204986,7456
20210305,465,205451,7464
20210306,478,205929,7474
20210307,434,206363,7484
20210308,588,206951,7498
20210309,642,207593,7508
20210310,624,208217,7513
20210311,663,208880,7520
20210312,585,209465,7526
20210313,463,209928,7530
20210314,445,210373,7535
20210315,692,211065,7536
20210316,571,211636,7547
20210317,598,212234,7551
20210318,545,212779,7552
20210319,534,213313,7552
20210320,417,213730,7552
20210321,158,213888,7552
