date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,5.8,0.5,12.5,0,,270,14,,1034.9,
2019-01-02,-1,-4.1,2,0,,285,7,,1044.5,
2019-01-03,1.4,-4,3.2,0,,274,7,,1041.7,
2019-01-04,4.6,2,6.7,0,,255,11,,1039.2,
2019-01-05,4.6,2.3,5.8,0,,262,11,,1035.7,
2019-01-06,7,3.7,8.4,0.3,,207,10,,1033.2,
2019-01-07,9.6,7.1,12.3,1,,259,31,,1020.6,
2019-01-08,5.6,1.7,8,0,,310,12,,1027.8,
2019-01-09,2.9,-0.3,4.6,0,,279,10,,1032.1,
2019-01-10,7.7,4.1,10.1,0,,275,13,,1029.1,
2019-01-11,7.5,5.2,9.1,0,,259,15,,1026.9,
2019-01-12,9.3,6.9,11.3,0,,259,26,,1012.9,
2019-01-13,9.1,6.3,11.3,,,267,27,,1006.3,
2019-01-14,4.6,1.2,7.6,0.8,,230,13,,1015.8,
2019-01-15,9.2,6.7,10.3,0.3,,247,31,,1006.4,
2019-01-16,6.1,2.4,9.2,0,,262,26,,995.4,
2019-01-17,1.9,-0.9,5.1,0,,303,15,,1011.1,
2019-01-18,-0.1,-5.1,4,0,,179,8,,1012.3,
2019-01-19,1.8,-0.8,3.1,0,,260,5,,1009.3,
2019-01-20,2.2,-0.6,4.9,0,,267,12,,1017.5,
2019-01-21,1.8,-3.8,4.6,0.3,,231,15,,1013.5,
2019-01-22,0.7,-3.2,3.3,2,,264,14,,995.8,
2019-01-23,-1,-4.3,2.9,0,,259,11,,1001.4,
2019-01-24,0.4,-2.9,3.7,0.3,,261,6,,1008.2,
2019-01-25,6,-0.3,10.1,0.3,,241,14,,1004.6,
2019-01-26,7.8,4.5,9.8,0.5,,245,20,,990.7,
2019-01-27,4,2.4,5.8,2.3,,307,20,,992.3,
2019-01-28,1.9,-0.1,4.7,0.3,,280,16,,1003.2,
2019-01-29,0.2,-3.2,2.4,0,,261,12,,992.8,
2019-01-30,-0.5,-3.7,3.5,1.5,,265,12,,992,
2019-01-31,-2.7,-5.3,1.8,0,,250,7,,993.3,
2019-02-01,-1.1,-5.6,3.7,0.3,,275,10,,997.9,
2019-02-02,-0.4,-4.8,3.4,0,,293,10,,1010,
2019-02-03,0.8,-5.4,3.8,1.5,,244,13,,1013.5,
2019-02-04,4.9,1,7.4,3,,243,20,,1008.7,
2019-02-05,2,-1.8,4.9,0,,206,8,,1015.8,
2019-02-06,4.3,1,8,4.3,,221,16,,1008,
2019-02-07,3.9,0.9,7.1,0.5,,235,12,,996.2,
2019-02-08,7.4,2.4,11,0.5,,202,33,,978.7,
2019-02-09,6.2,2.4,9.6,9.7,,255,37,,979.2,
2019-02-10,2.5,-0.3,7,0,,266,15,,993.8,
2019-02-11,3.9,-0.4,7.2,0.3,,267,10,,1021.1,
2019-02-12,8.5,3.7,11.9,0.3,,245,24,,1022.4,
2019-02-13,9.3,6.6,11.5,0,,222,24,,1022.5,
2019-02-14,8.6,3.8,10.6,0,,247,20,,1024.7,
2019-02-15,6.5,-0.6,12.5,0,,244,12,,1018.3,
